iter	Passed	Remaining
164	118	599
165	118	596
166	119	593
167	119	591
168	119	589
169	120	587
170	120	584
171	121	585
172	123	587
173	123	585
174	123	583
175	124	582
176	124	580
177	125	578
178	125	576
179	126	574
180	126	571
181	126	569
182	127	567
183	127	566
184	128	564
185	128	562
186	128	560
187	129	558
188	129	556
189	130	555
190	130	553
191	130	550
192	131	549
193	131	547
194	132	545
195	132	543
196	132	541
197	133	540
198	133	537
199	133	535
200	134	533
201	134	532
202	135	530
203	135	529
204	135	527
205	136	525
206	136	523
207	137	521
208	137	520
209	137	518
210	138	516
211	138	514
212	138	513
213	139	511
214	139	509
215	139	507
216	140	506
217	140	504
218	141	503
219	141	501
220	141	500
221	142	498
222	142	497
223	143	495
224	143	494
225	143	493
226	144	491
227	144	489
228	145	488
229	145	487
230	145	485
231	146	484
232	146	482
233	146	481
234	147	479
235	147	477
236	147	476
237	148	474
238	148	473
239	149	472
240	149	470
241	149	469
242	150	468
243	150	466
244	150	464
245	151	463
246	151	461
247	151	460
248	152	459
249	152	458
250	153	456
251	153	455
252	153	454
253	154	452
254	154	451
255	154	450
256	155	448
257	155	447
258	155	445
259	156	444
260	156	443
261	157	442
262	157	441
263	157	439
264	158	438
265	158	437
266	158	436
267	159	435
268	159	434
269	160	432
270	160	431
271	160	430
272	161	429
273	161	428
274	162	427
275	162	426
276	162	425
277	163	424
278	163	423
279	164	422
280	164	420
281	164	419
282	165	418
283	166	419
284	166	418
285	167	417
286	167	416
287	167	415
288	168	414
289	168	413
290	169	412
291	169	411
292	169	409
293	170	408
294	170	407
295	170	406
296	171	405
297	171	404
298	172	403
299	172	402
300	172	401
301	173	400
302	173	399
303	174	398
304	174	397
305	174	396
306	175	395
307	175	394
308	176	393
309	176	392
310	176	391
311	177	390
312	177	389
313	177	388
314	178	387
315	178	386
316	178	385
317	179	384
318	179	383
319	180	383
320	180	382
321	181	381
322	181	380
323	181	379
324	182	378
325	182	377
326	183	376
327	183	375
328	183	374
329	184	373
330	184	373
331	185	372
332	185	371
333	186	370
334	186	369
335	186	368
336	187	367
337	187	366
338	187	365
339	187	364
340	188	363
341	188	362
342	188	361
343	189	360
344	189	359
345	189	358
346	190	357
347	190	357
348	190	356
349	191	355
350	191	354
351	192	353
352	192	352
353	192	351
354	193	350
355	193	350
356	193	349
357	194	348
358	194	347
359	194	346
360	195	345
361	195	344
362	196	345
363	197	345
364	198	344
365	198	343
366	198	343
367	199	342
368	199	341
369	200	340
370	200	340
371	200	339
372	201	338
373	201	337
374	201	336
375	202	335
376	202	334
377	202	333
378	203	333
379	203	332
380	204	331
381	204	330
382	204	329
383	205	329
384	205	328
385	205	327
386	206	327
387	207	326
388	207	326
389	207	325
390	208	324
391	208	323
392	209	323
393	209	322
394	209	321
395	210	320
396	210	320
397	211	319
398	211	318
399	211	317
400	212	316
401	212	315
402	212	315
403	213	314
404	213	313
405	213	312
406	214	312
407	214	311
408	214	310
409	215	309
410	215	309
411	216	308
412	216	307
413	216	307
414	217	306
415	217	305
416	217	304
417	218	303
418	218	303
419	219	302
420	219	301
421	219	300
422	220	300
423	220	299
424	220	298
425	221	298
426	221	297
427	222	296
428	223	296
429	223	296
430	223	295
431	224	294
432	224	294
433	224	293
434	225	292
435	225	291
436	225	291
437	226	290
438	226	289
439	227	289
440	227	288
441	227	287
442	228	286
443	228	286
444	228	285
445	229	284
446	229	284
447	230	283
448	230	282
449	230	282
450	231	281
451	231	280
452	231	279
453	232	279
454	232	278
455	232	277
456	233	277
457	233	276
458	233	275
459	234	275
460	234	274
461	235	273
462	235	273
463	235	272
464	236	271
465	236	271
466	237	270
467	237	269
468	237	269
469	238	268
470	238	267
471	238	267
472	239	266
473	239	265
474	239	265
475	240	264
476	240	263
477	241	263
478	241	262
479	241	261
480	242	261
481	242	260
482	242	259
483	243	259
484	243	258
485	243	257
486	244	257
487	244	256
488	244	255
489	245	255
490	245	254
491	246	254
492	246	253
493	246	252
494	247	252
495	247	251
496	247	250
497	248	250
498	248	249
499	248	248
500	249	248
501	249	247
502	250	247
503	250	246
504	250	245
505	251	245
506	251	244
507	252	244
508	252	243
509	252	242
510	253	242
511	253	241
512	253	241
513	254	240
514	254	239
515	255	239
516	255	238
517	255	237
518	256	237
519	256	236
520	256	236
521	257	235
522	257	234
523	257	234
524	258	233
525	258	233
526	258	232
527	259	231
528	259	231
529	259	230
530	260	229
531	260	229
532	261	228
533	261	228
534	261	227
535	262	226
536	262	226
537	262	225
538	263	225
539	263	224
540	264	224
541	264	223
542	264	222
543	265	222
544	265	221
545	265	220
546	266	220
547	266	219
548	266	219
549	267	218
550	267	217
551	267	217
552	268	216
553	268	216
554	268	215
555	269	215
556	269	214
557	269	213
558	270	213
559	270	212
560	271	212
561	271	211
562	271	210
563	272	210
564	272	209
565	272	209
566	273	208
567	273	208
568	273	207
569	274	206
570	274	206
571	275	205
572	275	205
573	275	204
574	276	204
575	276	203
576	277	203
577	277	202
578	277	201
579	278	201
580	278	200
581	278	200
582	279	199
583	279	199
584	279	198
585	280	197
586	280	197
587	280	196
588	281	196
589	281	195
590	282	195
591	282	194
592	282	194
593	283	193
594	283	193
595	284	192
596	284	192
597	284	191
598	285	190
599	285	190
600	285	189
601	286	189
602	286	188
603	287	188
604	287	187
605	287	187
606	288	186
607	288	185
608	288	185
609	289	184
610	289	184
611	289	183
612	290	183
613	290	182
614	290	182
615	291	181
616	291	181
617	292	180
618	292	180
619	292	179
620	293	178
621	293	178
622	293	177
623	294	177
624	294	176
625	295	176
626	295	175
627	295	175
628	296	174
629	296	174
630	296	173
631	297	173
632	297	172
633	297	172
634	298	171
635	298	170
636	298	170
637	299	169
638	299	169
639	300	168
640	300	168
641	300	167
642	301	167
643	301	166
644	301	166
645	302	165
646	302	165
647	302	164
648	303	163
649	303	163
650	303	162
651	304	162
652	304	161
653	305	161
654	305	160
655	305	160
656	306	159
657	306	159
658	306	158
659	307	158
660	307	157
661	307	157
662	308	156
663	308	156
664	308	155
665	309	155
666	309	154
667	309	154
668	310	153
669	310	153
670	311	152
671	311	152
672	311	151
673	312	151
674	312	150
675	313	150
676	313	149
677	313	149
678	314	148
679	314	147
680	314	147
681	315	146
682	315	146
683	315	145
684	316	145
685	316	144
686	317	144
687	317	143
688	317	143
689	318	142
690	318	142
691	318	141
692	319	141
693	319	140
694	320	140
695	320	139
696	320	139
697	321	138
698	321	138
699	321	137
700	322	137
701	322	136
702	322	136
703	323	135
704	323	135
705	323	134
706	324	134
707	324	133
708	325	133
709	325	132
710	325	132
711	326	131
712	326	131
713	326	130
714	327	130
715	327	129
716	328	129
717	328	129
718	328	128
719	329	128
720	329	127
721	329	127
722	330	126
723	330	126
724	331	125
725	331	125
726	331	124
727	332	124
728	332	123
729	332	123
730	333	122
731	333	122
732	333	121
733	334	121
734	334	120
735	334	120
736	335	119
737	335	119
738	336	118
739	336	118
740	336	117
741	337	117
742	337	116
743	337	116
744	338	115
745	338	115
746	338	114
747	339	114
748	339	113
749	339	113
750	340	112
751	340	112
752	340	111
753	341	111
754	341	110
755	342	110
756	342	109
757	342	109
758	343	108
759	343	108
760	343	108
761	344	107
762	344	107
763	345	106
764	345	106
765	345	105
766	346	105
767	346	104
768	347	104
769	347	103
770	348	103
771	348	102
772	348	102
773	349	101
774	349	101
775	350	101
776	350	100
777	350	100
778	350	99
779	351	99
780	351	98
781	352	98
782	352	97
783	352	97
784	353	96
785	353	96
786	353	95
787	354	95
788	354	94
789	354	94
790	355	93
791	355	93
792	355	92
793	356	92
794	356	91
795	356	91
796	357	90
797	357	90
798	358	90
799	358	89
800	358	89
801	359	88
802	359	88
803	359	87
804	360	87
805	360	86
806	361	86
807	361	85
808	361	85
809	362	84
810	362	84
811	363	84
812	363	83
813	363	83
814	364	82
815	364	82
816	364	81
817	365	81
818	365	80
819	365	80
820	366	79
821	366	79
822	367	78
823	367	78
824	367	77
825	368	77
826	368	77
827	368	76
828	369	76
829	369	75
830	369	75
831	370	74
832	370	74
833	370	73
834	371	73
835	371	72
836	371	72
837	372	71
838	372	71
839	372	71
840	373	70
841	373	70
842	374	69
843	374	69
844	374	68
845	375	68
846	375	67
847	375	67
848	376	66
849	376	66
850	377	66
851	377	65
852	377	65
853	378	64
854	378	64
855	379	63
856	379	63
857	379	62
858	380	62
859	380	61
860	381	61
861	381	61
862	381	60
863	382	60
864	382	59
865	382	59
866	383	58
867	383	58
868	384	57
869	384	57
870	385	57
871	385	56
872	385	56
873	386	55
874	386	55
875	386	54
876	387	54
877	387	53
878	388	53
879	388	52
880	388	52
881	389	52
882	389	51
883	389	51
884	390	50
885	390	50
886	390	49
887	391	49
888	391	48
889	392	48
890	392	48
891	392	47
892	393	47
893	393	46
894	393	46
895	394	45
896	394	45
897	394	44
898	395	44
899	395	43
900	396	43
901	396	43
902	396	42
903	397	42
904	397	41
905	397	41
906	398	40
907	398	40
908	399	39
909	399	39
910	399	39
911	400	38
912	400	38
913	400	37
914	401	37
915	401	36
916	401	36
917	402	35
918	402	35
919	403	35
920	403	34
921	403	34
922	404	33
923	404	33
924	404	32
925	405	32
926	405	31
927	406	31
928	406	31
929	406	30
930	407	30
931	407	29
932	408	29
933	408	28
934	408	28
935	409	27
936	409	27
937	409	27
938	410	26
939	410	26
940	410	25
941	411	25
942	411	24
943	412	24
944	412	24
945	412	23
946	413	23
947	413	22
948	413	22
949	414	21
950	414	21
951	415	20
952	415	20
953	415	20
954	416	19
955	416	19
956	416	18
957	417	18
958	417	17
959	417	17
960	418	16
961	418	16
962	419	16
963	419	15
964	419	15
965	420	14
966	420	14
967	421	13
968	421	13
969	422	13
970	422	12
971	423	12
972	423	11
973	423	11
974	424	10
975	424	10
976	424	9
977	425	9
978	425	9
979	425	8
980	426	8
981	426	7
982	427	7
983	427	6
984	427	6
985	428	6
986	428	5
987	428	5
988	429	4
989	429	4
990	430	3
991	430	3
992	431	3
993	431	2
994	431	2
995	432	1
996	432	1
997	432	0
998	433	0
999	433	0
