iter	Passed	Remaining
0	57	57601
1	58	28997
2	58	19448
3	58	14672
4	59	11795
5	59	9873
6	59	8508
7	60	7478
8	60	6682
9	60	6038
10	61	5511
11	61	5085
12	62	4716
13	62	4407
14	62	4130
15	63	3890
16	63	3684
17	64	3497
18	64	3339
19	65	3188
20	65	3055
21	65	2933
22	66	2820
23	66	2715
24	67	2618
25	67	2528
26	67	2443
27	68	2367
28	68	2297
29	68	2229
30	69	2167
31	69	2112
32	70	2057
33	70	2003
34	70	1952
35	71	1904
36	71	1863
37	71	1820
38	72	1779
39	72	1740
40	72	1705
41	73	1668
42	73	1636
43	73	1607
44	74	1576
45	74	1547
46	74	1519
47	75	1494
48	75	1470
49	76	1446
50	76	1423
51	76	1402
52	77	1381
53	77	1359
54	78	1340
55	78	1322
56	78	1303
57	79	1284
58	79	1266
59	79	1249
60	80	1232
61	80	1217
62	80	1201
63	81	1186
64	81	1171
65	81	1156
66	82	1142
67	82	1130
68	82	1116
69	83	1105
70	83	1094
71	84	1083
72	84	1071
73	84	1060
74	85	1050
75	85	1040
76	85	1029
77	86	1019
78	86	1010
79	87	1000
80	87	992
81	87	982
82	87	971
83	88	962
84	88	953
85	88	945
86	89	938
87	89	931
88	90	924
89	90	915
90	90	908
91	91	900
92	91	893
93	91	886
94	92	878
95	92	872
96	93	865
97	93	858
98	93	852
99	93	845
100	94	839
101	94	834
102	95	829
103	95	823
104	96	818
105	96	812
106	96	806
107	96	800
108	97	795
109	97	789
110	97	784
111	98	779
112	98	774
113	99	770
114	99	765
115	99	760
116	99	754
117	100	750
118	100	745
119	101	741
120	101	737
121	101	732
122	102	728
123	102	724
124	102	720
125	103	716
126	104	716
127	104	712
128	105	709
129	105	705
130	105	702
131	106	699
132	106	696
133	107	691
134	107	687
135	107	684
136	108	681
137	108	677
138	108	674
139	109	670
140	109	667
141	109	662
142	110	659
143	110	656
144	110	653
145	111	650
146	111	647
147	111	644
148	112	641
149	112	638
150	113	636
151	113	633
152	113	630
153	114	627
154	114	625
155	115	622
156	115	619
157	115	616
158	116	613
159	116	611
160	116	608
161	117	605
162	117	603
163	118	601
